variable,count,mean,std,min,25%,50%,75%,max,original
dummy1,1000.0,3.837242373142175e-05,0.010497802751859242,-0.0392794235837135,-0.0069482578349904,-0.00059359720116645,0.007010265577007375,0.0381336367516251,0.0072287133436359
dummy2,1000.0,-0.0001089358638800768,0.011139691483148369,-0.0339990867845931,-0.00756370773971045,4.762578281583213e-05,0.008021314425754274,0.03167395146681,0.0032617902698479
x1,1000.0,0.04420289123688454,3.0774926549817168,-8.317156539199049,-1.957776384269793,0.0332581149299743,2.055912475456226,28.20444359060344,28.20444359060344
x2,1000.0,-0.4657407569208181,8.057827240785523,-24.688781696372892,-6.012354143020115,-0.3526596653534897,4.564349584559094,75.05054334620094,75.05054334620094
x3,1000.0,-0.04985552873441161,1.9468991130426134,-5.060042540299817,-1.3833198286479116,-0.08074775447673704,1.3184838926503457,17.75527325325612,17.75527325325612
